2018-10-22_10:00:40,6657.00,25.00
2018-10-22_10:00:47,6635.00,25.00
2018-10-22_10:00:54,6632.00,25.00
2018-10-22_10:01:02,6638.00,25.00
2018-10-22_10:01:09,6640.00,25.00
2018-10-22_10:01:16,6629.00,25.00
2018-10-22_10:01:24,6621.00,25.00
2018-10-22_10:01:31,6637.00,25.00
2018-10-22_10:01:38,6610.00,25.00
2018-10-22_10:01:45,6657.00,25.00
2018-10-22_10:01:53,6632.00,25.00
2018-10-22_10:02:00,6650.00,25.00
2018-10-22_10:02:07,6623.00,25.00
2018-10-22_10:02:15,6634.00,25.00
2018-10-22_10:02:22,6624.00,25.00
2018-10-22_10:02:29,6653.00,25.00
2018-10-22_10:02:36,6601.00,25.00
2018-10-22_10:02:44,6641.00,25.00
2018-10-22_10:02:51,6650.00,25.00
2018-10-22_10:02:58,6604.00,25.00
2018-10-22_10:03:05,6634.00,25.00
2018-10-22_10:03:13,6622.00,25.00
2018-10-22_10:03:20,6623.00,25.00
2018-10-22_10:03:27,6654.00,25.00
2018-10-22_10:03:35,6629.00,25.06
2018-10-22_10:03:42,6591.00,25.06
2018-10-22_10:03:49,6630.00,25.06
2018-10-22_10:03:56,6649.00,25.06
2018-10-22_10:04:04,6627.00,25.06
2018-10-22_10:04:11,6631.00,25.00
2018-10-22_10:04:18,6634.00,25.00
2018-10-22_10:04:25,6653.00,25.06
2018-10-22_10:04:33,6607.00,25.00
2018-10-22_10:04:40,6616.00,25.06
2018-10-22_10:04:47,6622.00,25.06
2018-10-22_10:04:55,6644.00,25.00
2018-10-22_10:05:02,6590.00,25.00
2018-10-22_10:05:09,6644.00,25.00
2018-10-22_10:05:16,6618.00,25.00
2018-10-22_10:05:24,6632.00,25.00
2018-10-22_10:05:31,6598.00,25.00
2018-10-22_10:05:38,6622.00,25.00
2018-10-22_10:05:46,6639.00,25.00
2018-10-22_10:05:53,6624.00,25.00
2018-10-22_10:06:00,6643.00,25.00
2018-10-22_10:06:07,6620.00,25.00
2018-10-22_10:06:15,6631.00,25.00
2018-10-22_10:06:22,6618.00,25.00
2018-10-22_10:06:29,6632.00,25.00
2018-10-22_10:06:36,6582.00,25.00
2018-10-22_10:06:44,6637.00,25.00
2018-10-22_10:06:51,6624.00,25.00
2018-10-22_10:06:58,6638.00,25.00
2018-10-22_10:07:06,6628.00,25.00
2018-10-22_10:07:13,6628.00,25.00
2018-10-22_10:07:20,6627.00,25.00
2018-10-22_10:07:27,6614.00,25.00
2018-10-22_10:07:35,6633.00,25.00
2018-10-22_10:07:42,6642.00,25.00
2018-10-22_10:07:49,6617.00,25.00
2018-10-22_10:07:56,6646.00,25.00
2018-10-22_10:08:04,6618.00,25.00
2018-10-22_10:08:11,6603.00,25.00
2018-10-22_10:08:18,6654.00,25.00
2018-10-22_10:08:26,6613.00,25.00
2018-10-22_10:08:33,6591.00,25.00
2018-10-22_10:08:40,6636.00,25.00
2018-10-22_10:08:47,6588.00,25.00
2018-10-22_10:08:55,6630.00,25.00
2018-10-22_10:09:02,6620.00,25.00
2018-10-22_10:09:09,6625.00,25.00
